GeneLabel,ReplacementLabel
orf121,orf121
orf12,orf12
orf122,orf122
orf123,orf123
orf124,orf124
orf1252,orf1252
orf1256,orf1256
orf125,orf125
orf125a,orf125a
orf1260,orf1260
orf126_1,orf126_1
orf126_2,orf126_2
orf126,orf126
orf127,orf127
orf128,orf128
orf129,orf129
orf130,orf130
orf_13,orf_13
orf1311,orf1311
orf131,orf131
orf131a,orf131a
orf132,orf132
orf133,orf133
orf134,orf134
orf135,orf135
orf136,orf136
orf137,orf137
orf13,orf13
orf138,orf138
orf139,orf139
orf139a,orf139a
orf139b,orf139b
orf140,orf140
orf141,orf141
orf142,orf142
orf1432,orf1432
orf143,orf143
orf144,orf144
orf144a,orf144a
orf145,orf145
orf146,orf146
orf146a,orf146a
orf147,orf147
orf14,orf14
orf148,orf148
orf1491,orf1491
orf149,orf149
orf149a,orf149a
orf149b,orf149b
orf150,orf150
orf151,orf151
orf151a,orf151a
orf151b,orf151b
orf152,orf152
orf_153,orf_153
orf153,orf153
orf153a,orf153a
orf154,orf154
orf15,orf15
orf155,orf155
orf156,orf156
orf157,orf157
orf158,orf158
orf159,orf159
orf160,orf160
orf160b,orf160b
orf161,orf161
orf162,orf162
orf163,orf163
orf16,orf16
orf164,orf164
orf165,orf165
orf166,orf166
orf167,orf167
orf168,orf168
orf169,orf169
orf1697,orf1697
orf170,orf170
orf171,orf171
orf172,orf172
orf17,orf17
orf173,orf173
orf1738,orf1738
orf174,orf174
orf175,orf175
orf176,orf176
orf177,orf177
orf178,orf178
orf179,orf179
orf180,orf180
orf_18,orf_18
orf181,orf181
orf1819,orf1819
orf182,orf182
orf183,orf183
orf18,orf18
orf184,orf184
orf185,orf185
orf186,orf186
orf187,orf187
orf188,orf188
orf189,orf189
orf190,orf190
orf_19,orf_19
orf191,orf191
orf192,orf192
orf193,orf193
orf194,orf194
orf19,orf19
orf195,orf195
orf196,orf196
orf197,orf197
orf197a,orf197a
orf198,orf198
orf199,orf199
orf1995,orf1995
orf1_gon,orf1_gon
orf200,orf200
orf201,orf201
orf_20,orf_20
orf20,orf20
orf2020,orf2020
orf202,orf202
orf203,orf203
orf204,orf204
orf205,orf205
orf206,orf206
orf207,orf207
orf208,orf208
orf209,orf209
orf210a,orf210a
orf_21,orf_21
orf211,orf211
orf2,orf2
orf212,orf212
orf21,orf21
orf213,orf213
orf_2,orf_2
orf214,orf214
orf215,orf215
orf216,orf216
orf217,orf217
orf218,orf218
orf219,orf219
orf220,orf220
orf221,orf221
orf222,orf222
orf22,orf22
orf223,orf223
orf224,orf224
orf225,orf225
orf226,orf226
orf227,orf227
orf228,orf228
