GeneLabel,ReplacementLabel
orf111c,orf111
orf111e,orf111
orf112_1,orf112
orf112,orf112
orf112_2,orf112
orf112_3,orf112
orf112_4,orf112
orf112_5,orf112
orf112-a1,orf112
orf112-a2,orf112
orf112a,orf112
orf112b,orf112
orf112c,orf112
orf113_1,orf113
orf113,orf113
orf113_2,orf113
orf113-a,orf113
orf113a,orf113
orf113-b,orf113
orf113b,orf113
orf113c,orf113
orf113d,orf113
orf113e,orf113
orf11,orf11
orf114_1,orf114
orf114,orf114
orf114_2,orf114
orf_1146,orf1146
orf114-a,orf114
orf114a,orf114
orf114-b,orf114
orf114b,orf114
orf114c,orf114
orf114d,orf114
orf115,orf115
orf115_1,orf115
orf115_2,orf115
orf1159,orf1159
orf115-a1,orf115
orf115a,orf115
orf115-a2,orf115
orf115-b,orf115
orf115b,orf115
orf115-c1,orf115
orf115c,orf115
orf115-c2,orf115
orf115-d,orf115
orf115d,orf115
orf115-e,orf115
orf116_1,orf116
orf116_2,orf116
orf116,orf116
orf1168,orf1168
orf116-a,orf116
orf116a,orf116
orf116-b,orf116
orf116b,orf116
orf116c,orf116
orf116d,orf116
orf117_1,orf117
orf117,orf117
orf117_2,orf117
orf117_3,orf117
orf117_4,orf117
orf117_5,orf117
orf117_6,orf117
orf117-a,orf117
orf117a,orf117
orf117-b,orf117
orf117b,orf117
orf117-c,orf117
orf117c,orf117
orf117-d,orf117
orf118_1,orf118
orf118_2,orf118
orf118,orf118
orf118_3,orf118
orf119,orf119
orf119-a,orf119
orf119a,orf119
orf119-b,orf119
orf119b,orf119
orf119-c,orf119
orf119c,orf119
orf120,orf120
orf120a,orf120
orf120b,orf120
orf121_1,orf121
orf121_2,orf121
orf121,orf121
orf121a,orf121
orf121-a-ct,orf121
orf121-b,orf121
orf121b,orf121
orf121-c,orf121
orf121c,orf121
orf1220,orf1220
orf122_1,orf122
orf122_2,orf122
orf122,orf122
orf122a,orf122
orf122b,orf122
orf122c,orf122
orf123_1,orf123
orf123_2,orf123
orf123,orf123
orf123_3,orf123
orf123_4,orf123
orf123a,orf123
orf123b,orf123
orf12,orf12
orf124_1,orf124
orf124,orf124
orf124_2,orf124
orf124-a-1,orf124
orf124a,orf124
orf124b,orf124
orf125_1,orf125
orf125_2,orf125
orf125,orf125
orf125_3,orf125
orf125_4,orf125
orf125_5,orf125
orf125a,orf125
orf125b,orf125
orf125c,orf125
orf125d,orf125
orf125e,orf125
orf125f,orf125
orf125g,orf125
orf125h,orf125
orf126,orf126
orf126_2,orf126
orf126-a,orf126
orf126-b1,orf126
orf126-b2,orf126
orf126-c,orf126
orf126-d,orf126
orf127_1,orf127
orf127,orf127
orf127_2,orf127
orf127a,orf127
orf127b,orf127
orf127c,orf127
orf127d,orf127
orf1,orf1
orf128_1,orf128
orf128,orf128
orf128_2,orf128
orf128_3,orf128
orf128_4,orf128
orf128_5,orf128
orf128a,orf128
orf128b,orf128
orf128c,orf128
orf129_1,orf129
orf129_2,orf129
orf129,orf129
orf129-a,orf129
orf129a,orf129
orf129-b,orf129
orf129b,orf129
orf129c,orf129
orf129d,orf129
orf130,orf130
orf130a,orf130
orf130b,orf130
orf131_1,orf131
orf131_2,orf131
orf131,orf131
orf131_3,orf131
orf131-a,orf131
orf131b,orf131
orf131-b-ct,orf131
orf131-c,orf131
orf131c,orf131
orf132,orf132
orf132a,orf132
orf132b,orf132
orf13,orf13
orf133,orf133
orf133-a,orf133
orf133a,orf133
orf133-b,orf133
orf133b,orf133
orf133c,orf133
orf134,orf134
orf1349,orf1349
orf134a,orf134
orf134-a-ct,orf134
orf134-b,orf134
orf134b,orf134
orf134c,orf134
orf135_1,orf135
orf135_2,orf135
orf135,orf135
orf135_3,orf135
orf135a,orf135
orf135b,orf135
orf135c,orf135
orf135d,orf135
orf135e,orf135
orf136_1,orf136
orf136,orf136
orf136_2,orf136
orf136a,orf136
orf136b,orf136
orf137,orf137
orf137a,orf137
orf137-a-ct,orf137
orf137b,orf137
orf137c,orf137
orf138_1,orf138
orf138_2,orf138
orf138,orf138
orf138_3,orf138
orf1386,orf1386
orf138-a,orf138
orf138a,orf138
orf138-b,orf138
orf138b,orf138
orf138c,orf138
orf139-1,orf139
orf139,orf139
orf139-2,orf139
orf140,orf140
orf140_1,orf140
orf140_2,orf140
orf1407,orf1407
orf140-a,orf140
orf140-b,orf140
orf140-c,orf140
orf141,orf141
orf142,orf142
orf14,orf14
orf143,orf143
orf143a,orf143
orf143b,orf143
orf144,orf144
orf144a,orf144
orf144b,orf144
orf145,orf145
orf145d,orf145
orf146_1,orf146
orf146_2,orf146
orf146,orf146
orf146-a,orf146
orf147,orf147
orf147-a,orf147
orf147-b,orf147
orf147b,orf147
orf148,orf148
orf148b,orf148
orf149,orf149
orf149-a,orf149
orf149-b,orf149
orf149b,orf149
orf150,orf150
orf151,orf151
orf152,orf152
orf1525,orf1525
orf152a,orf152
orf152b,orf152
orf152c,orf152
orf15,orf15
orf153,orf153
orf154_1,orf154
orf154,orf154
orf154_2,orf154
orf154a,orf154
orf154b,orf154
orf155,orf155
orf155a,orf155
orf155b,orf155
orf156,orf156
orf157,orf157
orf158_1,orf158
orf158_2,orf158
orf158,orf158
orf158-a1,orf158
orf158-a2,orf158
orf159,orf159
orf1592,orf1592
orf1594,orf1594
orf159a,orf159
orf159b,orf159
orf160,orf160
orf160-a,orf160
orf160a,orf160
orf160b,orf160
orf16,orf16
orf161_1,orf161
orf161,orf161
orf161_2,orf161
orf162,orf162
orf1623,orf1623
orf163_1,orf163
orf163,orf163
orf163_2,orf163
orf1636,orf1636
orf164,orf164
orf165,orf165
orf166,orf166
orf166a,orf166
orf166b,orf166
orf167,orf167
orf168,orf168
orf168a,orf168
orf168b,orf168
orf169,orf169
orf169a,orf169
orf169b,orf169
orf169c,orf169
orf170,orf170
orf17,orf17
orf171,orf171
orf171a,orf171
orf172-1,orf172
orf172,orf172
orf172-2,orf172
orf172-3,orf172
orf173,orf173
orf174,orf174
orf174b,orf174
orf174_=_ymf45,orf174
orf175,orf175
orf176,orf176
orf176a,orf176
orf177,orf177
orf178,orf178
orf178a,orf178
orf178b,orf178
orf179,orf179
orf179-b,orf179
orf180,orf180
orf18,orf18
orf181,orf181
orf182,orf182
orf182a,orf182
orf182b,orf182
orf183,orf183
orf183_=_ymf39;pwi_=_ymf39mpo_=_orf183;mpo,orf183
orf184,orf184
orf185,orf185
orf186,orf186
orf187,orf187
orf187a,orf187
orf188,orf188
orf189,orf189
orf190,orf190
orf191,orf191
orf19,orf19
orf192,orf192
orf1930,orf1930
orf1931,orf1931
orf193,orf193
orf193-a1,orf193
orf193-a2,orf193
orf194,orf194
orf195,orf195
orf_195,orf195
orf196,orf196
orf197,orf197
orf197b,orf197
orf198,orf198
orf198a,orf198
orf199,orf199
orf200,orf200
orf20,orf20
orf2013,orf2013
orf201,orf201
orf202,orf202
orf202a,orf202
orf202b,orf202
orf203,orf203
orf2038,orf2038
orf204,orf204
orf204a,orf204
orf204b,orf204
orf205,orf205
orf206,orf206
orf207,orf207
orf208,orf208
orf209,orf209
orf-2,orf2
orf210,orf210
orf211,orf211
orf21,orf21
orf212,orf212
orf213,orf213
orf214,orf214
orf2143,orf2143
orf215,orf215
orf216,orf216
orf217,orf217
orf217a,orf217
orf217c,orf217
orf218,orf218
orf219,orf219
orf220,orf220
orf221,orf221
orf222,orf222
orf2,orf2
orf22,orf22
orf223,orf223
orf224,orf224
orf224a,orf224
orf2250,orf2250
orf225,orf225
orf226,orf226
orf227,orf227
orf227-ct,orf227
orf228,orf228
orf229,orf229
orf229a,orf229
orf229b,orf229
orf230,orf230
orf23,orf23
orf231,orf231
orf232,orf232
orf233,orf233
